0-123-1233-0,"Dumas, Alexandre","Three Musketeers, The",Grosset & Dunlap,1953
0-124-2999-9,"Twain, Mark",Celebrated Jumping Frog of Calaveras County,Harper,1903
0-124-5544-X,"Dumas, Alexandre","Titans, The",Harper,1957
0-124-7989-1,"Twain, Mark","Dog's Tale, A",Harper,1904
0-125-3344-1,"Dumas, Alexandre","Black Tulip, The",P. F. Collier & Son,1902
0-126-3367-2,"Dumas, Alexandre","Count of Monte Cristo, The",Platt & Munk,1968
0-127-3948-2,"Dumas, Alexandre","Corsican Brothers, The",Metheun,1970
0-128-3939-2,"Clavell, James",Gai-Jin,Delacorte,1993
0-128-3939-X,"Clavell, James",Noble House,Delacorte,1981
0-128-4321-1,"Clavell, James",Tai-Pan,Delacorte,1966
0-129-4567-1,"McCaffrey, Anne",Dragonsong,Atheneum,1976
0-129-4912-0,"McCaffrey, Anne",Dragonsinger,Atheneum,1977
0-129-9293-2,"Lee, Tanith",Black Unicorn,Atheneum,1991
0-129-9876-5,"Clavell, James",Shogun,Atheneum,1975
0-130-2939-4,"McCaffrey, Anne","White Dragon, The",Ballantine Books,1978
0-130-2943-2,"McCaffrey, Anne",Dragonflight,Ballantine Books,1978
0-130-3941-7,"Rice, Anne","Feast of All Saints, The",Ballantine Books,1992
0-130-9483-1,"McCaffrey, Anne",Dragonquest,Ballantine Books,1979
0-131-1458-9,"Rice, Anne",Interview with the Vampire,Knopf,1976
0-131-3021-2,"Rice, Anne","Tale of the Body Thief, The",Knopf,1992
0-131-4809-X,"Rice, Anne","Vampire Lestat, The",Knopf,1985
0-131-4912-X,"Rice, Anne",Taltos,Knopf,1994
0-131-4966-9,"Rice, Anne",Lasher,Knopf,1993
0-131-9456-2,"Rice, Anne",Cry to Heaven,Knopf,1982
0-132-3949-2,"Twain, Mark","Prince and the Pauper, The",James R. Osgood and Co.,1882
0-132-9876-4,"Twain, Mark",Life on the Mississippi,James R. Osgood and Co.,1883
